species,decimalLatitude,decimalLongitude,year,basisOfRecord,habitat,samplingProtocol,locality,occurrenceStatus,iucnRedListCategory,presencia
,3.615533284178101,-73.74263423987226,,1,1,1,111,1,2,0
,3.9045123125622916,-72.33250612700795,,1,1,1,111,1,2,0
,3.332466861942792,-72.08767574034998,,1,1,1,111,1,2,0
,3.6140205904173217,-72.96069752018134,,1,1,1,111,1,2,0
,3.6843032888377154,-72.3880257985438,,1,1,1,111,1,2,0
,3.522918725609915,-71.71392628427058,,1,1,1,111,1,2,0
,3.98243329303381,-72.30635684668123,,1,1,1,111,1,2,0
,4.090695035871564,-71.71504919589495,,1,1,1,111,1,2,0
,4.71502519572037,-73.67814901511285,,1,1,1,111,1,2,0
,3.61734970190359,-73.79186991850305,,1,1,1,111,1,2,0
,3.981926036998388,-72.37597870203211,,1,1,1,111,1,2,0
,4.270874575763639,-71.70594799331757,,1,1,1,111,1,2,0
,3.4427313815569733,-73.83222982227501,,1,1,1,111,1,2,0
,3.8040667642248396,-73.8050999772366,,1,1,1,111,1,2,0
,3.5237296564462435,-72.18645371429554,,1,1,1,111,1,2,0
,4.276570519070205,-71.78231893423195,,1,1,1,111,1,2,0
,4.604555082074812,-71.616474696288,,1,1,1,111,1,2,0
,3.407883229234387,-72.37748122132815,,1,1,1,111,1,2,0
,3.9241340592428418,-73.25636471157424,,1,1,1,111,1,2,0
,4.724799018959835,-73.43576568448947,,1,1,1,111,1,2,0
,4.351895017707448,-71.42520061136062,,1,1,1,111,1,2,0
,4.365950331549811,-73.87850893251769,,1,1,1,111,1,2,0
,3.3332549164180487,-73.53001008796109,,1,1,1,111,1,2,0
,4.2695147739547625,-73.1611141323353,,1,1,1,111,1,2,0
,4.513619293798374,-72.81778715252263,,1,1,1,111,1,2,0
,3.4399605202675523,-73.63242911277894,,1,1,1,111,1,2,0
,4.5470683627147945,-73.5513033018339,,1,1,1,111,1,2,0
,3.7359347784293973,-71.82346964041837,,1,1,1,111,1,2,0
,3.50402520882072,-73.5840902668004,,1,1,1,111,1,2,0
,4.131726537214047,-72.46467048430844,,1,1,1,111,1,2,0
,3.92357282037012,-73.18918262330985,,1,1,1,111,1,2,0
,3.815896287866014,-71.9929461632639,,1,1,1,111,1,2,0
,3.84608983369764,-72.73443613209365,,1,1,1,111,1,2,0
,3.503049902670876,-72.53827969856428,,1,1,1,111,1,2,0
,4.377101086291291,-72.44570036320711,,1,1,1,111,1,2,0
,3.9857016835489327,-73.72699303209072,,1,1,1,111,1,2,0
,4.631841551732922,-72.13781080543136,,1,1,1,111,1,2,0
,4.4829899075069415,-71.87150355415334,,1,1,1,111,1,2,0
,3.403109574474842,-71.61438959216163,,1,1,1,111,1,2,0
,3.5306827955482745,-72.00907311936655,,1,1,1,111,1,2,0
,4.355601802517728,-72.31348436287958,,1,1,1,111,1,2,0
,3.3177475202984414,-71.43885014664576,,1,1,1,111,1,2,0
,4.608912726199207,-72.88705674868568,,1,1,1,111,1,2,0
,4.672425322736931,-72.610347588674,,1,1,1,111,1,2,0
,4.476718343411155,-72.13260395951863,,1,1,1,111,1,2,0
,3.9866546215090217,-73.70482109645394,,1,1,1,111,1,2,0
