species,decimalLatitude,decimalLongitude,year,basisOfRecord,habitat,samplingProtocol,locality,occurrenceStatus,iucnRedListCategory
Puma concolor,4.111591,-72.827936,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yurimena, Vereda Menegua",PRESENT,LC
Panthera onca,3.536348,-73.425311,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Rey Zamuro",PRESENT,NT
Puma concolor,3.679461,-73.637869,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Unión, Hacienda San Camilo",PRESENT,LC
Panthera onca,3.433742,-72.942968,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Brisas de Manacacias, Hato Samanes",PRESENT,NT
Panthera onca,3.531515,-73.402054,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Matarredonda",PRESENT,NT
Panthera onca,3.50019,-72.450278,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Siberia, Hacienda Siberia",PRESENT,NT
Panthera onca,3.369002,-72.627905,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Siberia, Hacienda La Esperanza",PRESENT,NT
Puma concolor,3.369002,-72.627905,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Siberia, Hacienda La Esperanza",PRESENT,LC
Puma concolor,3.531515,-73.402054,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Matarredonda",PRESENT,LC
Puma concolor,3.739762,-73.662517,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Altamira, Hacienda Altamira",PRESENT,LC
Puma concolor,3.69696,-73.153653,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Brisas del Camoa, Hacienda Santa Teresa",PRESENT,LC
Puma concolor,4.010608,-72.689038,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yucao, Finca La Frontera",PRESENT,LC
Puma concolor,4.111591,-72.827936,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yurimena, Vereda Menegua",PRESENT,LC
Panthera onca,3.452407,-72.511963,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Siberia, Hacienda Sibira",PRESENT,NT
Puma concolor,3.770915,-72.462949,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tropezon, Hacienda Yatiribo",PRESENT,LC
Puma concolor,3.824689,-72.542453,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Melúa, Hacienda El Prado",PRESENT,LC
Puma concolor,4.119642,-72.688989,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Ema, Hacienda Caracoli",PRESENT,LC
Panthera onca,4.190973,-72.431705,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Sandrita, Hacienda Berali",PRESENT,NT
Puma concolor,4.006405,-72.903459,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Santo Domingo",PRESENT,LC
Puma concolor,4.119642,-72.688989,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Ema, Hacienda Caracoli",PRESENT,LC
Puma concolor,4.119344,-72.685758,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Ema, Hacienda El Olivar",PRESENT,LC
Puma concolor,4.002314,-72.863238,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Finca Palmarito",PRESENT,LC
